player_api_id,player_name,height,weight,Position
27342,Morten Jensen,190.5,194,GK
215168,Bernd Leno,190.5,183,GK
25600,Rory Fallon,190.5,198,Outfield
37387,Michael Mutzel,182.88,165,Outfield
416175,Jose Sa,193.04,187,GK
208718,Laurent Henkinet,187.96,192,GK
37177,Ronald Graafland,190.5,172,GK
27284,Michael Rensing,190.5,205,GK
141733,Sergey Khizhnichenko,187.96,179,Outfield
32674,Craig Dargo,167.64,141,Outfield
26585,Jurgen Wevers,203.2,212,GK
522571,Aleksandar Damcevski,193.04,194,Outfield
242243,William Dutoit,182.88,172,GK
171698,Joel Matip,195.58,198,Outfield
474668,Roberto Chen,182.88,159,Outfield
93484,Aly Cissokho,180.34,165,Outfield
176704,Robert Pich,172.72,150,Outfield
25863,Bastien Geiger,177.8,159,Outfield
214984,Esteban Alvarado,193.04,187,GK
145550,Kevin Trapp,187.96,194,GK
212772,Antonio Donnarumma,193.04,212,GK
277761,Chancel Mbemba,182.88,181,Outfield
23453,Paul Rachubka,185.42,187,GK
30458,Ulrich Rame,187.96,187,GK
244278,Mathias Gehrt,175.26,165,Outfield
30950,Gilberto,180.34,170,Outfield
46741,Johan Liebus,185.42,185,GK
164316,Marafona,190.5,190,GK
363364,Ederson Moraes,187.96,183,GK
27341,"Robert Enke,30",185.42,172,GK
188000,Josh Parker,180.34,168,Outfield
41975,Alex Valentini,185.42,176,GK
114735,Nick von Niederhausern,177.8,157,Outfield
176691,Uros Matic,182.88,170,Outfield
35442,Bradley Jones,190.5,168,GK
27504,Andre Lenz,190.5,205,GK
209312,Danilo Dias,172.72,139,Outfield
24147,Ben Foster,193.04,198,GK
470720,Ben Richards-Everton,190.5,181,Outfield
34480,Davy Schollen,190.5,192,GK
173609,Ivan Martic,182.88,154,Outfield
39390,Luigi Lavecchia,177.8,165,Outfield
114963,Fabian Giefer,195.58,205,GK
277845,Hendrik van Crombrugge,187.96,192,GK
